file,da,nsd,paper,doi,doi_no_underscore,journal_abrev,container.title,predicted,actual_da,actual_nsd,notes
Data/html/10.1128_aac.02024-13.html,No,No,https://journals.asm.org/doi/10.1128/aac.02024-13,10.1128_aac.02024-13,10.1128/aac.02024-13,aac,Antimicrobial Agents and Chemotherapy,Data/predicted/10.1128_aac.02024-13.csv,No,No,
Data/html/10.1128_aac.00017-22.html,No,No,https://journals.asm.org/doi/10.1128/aac.00017-22,10.1128_aac.00017-22,10.1128/aac.00017-22,aac,Antimicrobial Agents and Chemotherapy,Data/predicted/10.1128_aac.00017-22.csv,No,No,
Data/html/10.1128_aac.47.5.1742-1745.2003.html,No,No,https://journals.asm.org/doi/10.1128/aac.47.5.1742-1745.2003,10.1128_aac.47.5.1742-1745.2003,10.1128/aac.47.5.1742-1745.2003,aac,Antimicrobial Agents and Chemotherapy,Data/predicted/10.1128_aac.47.5.1742-1745.2003.csv,No,No,
Data/html/10.1128_aac.00303-10.html,No,No,https://journals.asm.org/doi/10.1128/aac.00303-10,10.1128_aac.00303-10,10.1128/aac.00303-10,aac,Antimicrobial Agents and Chemotherapy,Data/predicted/10.1128_aac.00303-10.csv,No,No,
Data/html/10.1128_aac.01052-07.html,No,Yes,https://journals.asm.org/doi/10.1128/aac.01052-07,10.1128_aac.01052-07,10.1128/aac.01052-07,aac,Antimicrobial Agents and Chemotherapy,Data/predicted/10.1128_aac.01052-07.csv,Yes,Yes,"""nucleotide sequence accession number"" in GenBank/EMBL"
Data/html/10.1128_aac.02008-16.html,No,No,https://journals.asm.org/doi/10.1128/aac.02008-16,10.1128_aac.02008-16,10.1128/aac.02008-16,aac,Antimicrobial Agents and Chemotherapy,Data/predicted/10.1128_aac.02008-16.csv,No,No,
Data/html/10.1128_aac.03508-14.html,No,No,https://journals.asm.org/doi/10.1128/aac.03508-14,10.1128_aac.03508-14,10.1128/aac.03508-14,aac,Antimicrobial Agents and Chemotherapy,Data/predicted/10.1128_aac.03508-14.csv,No,No,
Data/html/10.1128_aac.00464-16.html,Yes,Yes,https://journals.asm.org/doi/10.1128/aac.00464-16,10.1128_aac.00464-16,10.1128/aac.00464-16,aac,Antimicrobial Agents and Chemotherapy,Data/predicted/10.1128_aac.00464-16.csv,Yes,Yes,
Data/html/10.1128_aac.02020-16.html,No,No,https://journals.asm.org/doi/10.1128/aac.02020-16,10.1128_aac.02020-16,10.1128/aac.02020-16,aac,Antimicrobial Agents and Chemotherapy,Data/predicted/10.1128_aac.02020-16.csv,No,No,
Data/html/10.1128_aac.02717-20.html,No,No,https://journals.asm.org/doi/10.1128/aac.02717-20,10.1128_aac.02717-20,10.1128/aac.02717-20,aac,Antimicrobial Agents and Chemotherapy,Data/predicted/10.1128_aac.02717-20.csv,No,Yes,"no clue why it thought this one had data, maybe BLAST?"
Data/html/10.1128_mspheredirect.00257-17.html,Yes,Yes,https://journals.asm.org/doi/10.1128/mspheredirect.00257-17,NA,NA,NA,NA,NA,Yes,Yes,
Data/html/10.1128_microbiolspec.ehec-0006-2013.html,No,No,https://journals.asm.org/doi/10.1128/microbiolspec.ehec-0006-2013,NA,NA,NA,NA,NA,No,No,
Data/html/10.1128_microbiolspec.mbp-0004-2014.html,No,No,https://journals.asm.org/doi/10.1128/microbiolspec.mbp-0004-2014,NA,NA,NA,NA,NA,No,No,
Data/html/10.1128_microbiolspec.aid-0007-2012.html,NA,NA,https://journals.asm.org/doi/10.1128/microbiolspec.aid-0007-12,NA,NA,NA,NA,NA,NA,NA,
Data/html/10.1128_microbiolspec.iol5-0011-2015.html,No,No,https://journals.asm.org/doi/10.1128/microbiolspec.iol5-0011-2015,NA,NA,NA,NA,NA,No,No,
Data/html/10.1128_microbiolspec.mdna3-0011-2014.html,No,No,https://journals.asm.org/doi/10.1128/microbiolspec.mdna3-0011-2014,NA,NA,NA,NA,NA,No,No,
Data/html/10.1128_microbiolspec.tnmi7-0012-2016.html,No,No,https://journals.asm.org/doi/10.1128/microbiolspec.tnmi7-0012-2016,NA,NA,NA,NA,NA,No,No,
Data/html/10.1128_microbiolspec.psib-0003-2018.html,No,No,https://journals.asm.org/doi/10.1128/microbiolspec.psib-0003-2018,NA,NA,NA,NA,NA,No,No,
Data/html/10.1128_mspheredirect.00331-17.html,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,
Data/html/10.1128_mcb.00732-10.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Data/html/10.1128_jb.00301-06.html,No,No,https://journals.asm.org/doi/10.1128/jb.00301-06,10.1128_jb.00301-06,10.1128/jb.00301-06,jb,Journal of Bacteriology,Data/predicted/10.1128_jb.00301-06.csv,No,No,
Data/html/10.1128_jb.185.17.5220-5233.2003.html,No,Yes,https://journals.asm.org/doi/10.1128/jb.185.17.5220-5233.2003,10.1128_jb.185.17.5220-5233.2003,10.1128/jb.185.17.5220-5233.2003,jb,Journal of Bacteriology,Data/predicted/10.1128_jb.185.17.5220-5233.2003.csv,Yes,Yes,"""Nucleotide sequence accession number."" in GenBank"
Data/html/10.1128_jb.02062-12.html,No,Yes,https://journals.asm.org/doi/10.1128/jb.02062-12,10.1128_jb.02062-12,10.1128/jb.02062-12,jb,Journal of Bacteriology,Data/predicted/10.1128_jb.02062-12.csv,No,No,"complement verification sequencing, protein analysis"
Data/html/10.1128_jb.183.16.4752-4760.2001.html,No,No,https://journals.asm.org/doi/10.1128/jb.183.16.4752-4760.2001,10.1128_jb.183.16.4752-4760.2001,10.1128/jb.183.16.4752-4760.2001,jb,Journal of Bacteriology,Data/predicted/10.1128_jb.183.16.4752-4760.2001.csv,No,No,
Data/html/10.1128_jb.01067-07.html,No,Yes,https://journals.asm.org/doi/10.1128/jb.01067-07,10.1128_jb.01067-07,10.1128/jb.01067-07,jb,Journal of Bacteriology,Data/predicted/10.1128_jb.01067-07.csv,No,No,microarray = not sequencing
Data/html/10.1128_jb.184.12.3368-3376.2002.html,No,No,https://journals.asm.org/doi/10.1128/jb.184.12.3368-3376.2002,10.1128_jb.184.12.3368-3376.2002,10.1128/jb.184.12.3368-3376.2002,jb,Journal of Bacteriology,Data/predicted/10.1128_jb.184.12.3368-3376.2002.csv,No,No,
Data/html/10.1128_jb.00999-08.html,No,No,https://journals.asm.org/doi/10.1128/jb.00999-08,10.1128_jb.00999-08,10.1128/jb.00999-08,jb,Journal of Bacteriology,Data/predicted/10.1128_jb.00999-08.csv,No,No,
Data/html/10.1128_jb.01312-06.html,No,No,https://journals.asm.org/doi/10.1128/jb.01312-06,10.1128_jb.01312-06,10.1128/jb.01312-06,jb,Journal of Bacteriology,Data/predicted/10.1128_jb.01312-06.csv,No,No,
Data/html/10.1128_jb.184.4.1196-1199.2002.html,No,No,https://journals.asm.org/doi/10.1128/jb.184.4.1196-1199.2002,10.1128_jb.184.4.1196-1199.2002,10.1128/jb.184.4.1196-1199.2002,jb,Journal of Bacteriology,Data/predicted/10.1128_jb.184.4.1196-1199.2002.csv,No,No,
Data/html/10.1128_jb.00205-06.html,No,Yes,https://journals.asm.org/doi/10.1128/jb.00205-06,10.1128_jb.00205-06,10.1128/jb.00205-06,jb,Journal of Bacteriology,Data/predicted/10.1128_jb.00205-06.csv,No,Yes,
Data/html/10.1128_jcm.42.4.1657-1665.2004.html,No,Yes,https://journals.asm.org/doi/10.1128/jcm.42.4.1657-1665.2004,10.1128_jcm.42.4.1657-1665.2004,10.1128/jcm.42.4.1657-1665.2004,jcm,Journal of Clinical Microbiology,Data/predicted/10.1128_jcm.42.4.1657-1665.2004.csv,No,No,"protein sequencing, available in genbank"
Data/html/10.1128_jcm.02685-12.html,No,No,https://journals.asm.org/doi/10.1128/jcm.02685-12,10.1128_jcm.02685-12,10.1128/jcm.02685-12,jcm,Journal of Clinical Microbiology,Data/predicted/10.1128_jcm.02685-12.csv,No,No,Confirmation sequencing for a rt-pcr assay 
Data/html/10.1128_jcm.01232-13.html,No,No,https://journals.asm.org/doi/10.1128/jcm.01232-13,10.1128_jcm.01232-13,10.1128/jcm.01232-13,jcm,Journal of Clinical Microbiology,Data/predicted/10.1128_jcm.01232-13.csv,No,No,
Data/html/10.1128_jcm.42.10.4524-4529.2004.html,No,Yes,https://journals.asm.org/doi/10.1128/jcm.42.10.4524-4529.2004,10.1128_jcm.42.10.4524-4529.2004,10.1128/jcm.42.10.4524-4529.2004,jcm,Journal of Clinical Microbiology,Data/predicted/10.1128_jcm.42.10.4524-4529.2004.csv,Yes,Yes,confirmation sequencing but also made available in genbank
Data/html/10.1128_jcm.38.5.1791-1796.2000.html,No,No,https://journals.asm.org/doi/10.1128/jcm.38.5.1791-1796.2000,10.1128_jcm.38.5.1791-1796.2000,10.1128/jcm.38.5.1791-1796.2000,jcm,Journal of Clinical Microbiology,Data/predicted/10.1128_jcm.38.5.1791-1796.2000.csv,No,No,
Data/html/10.1128_jcm.41.9.4298-4303.2003.html,No,No,https://journals.asm.org/doi/10.1128/jcm.41.9.4298-4303.2003,10.1128_jcm.41.9.4298-4303.2003,10.1128/jcm.41.9.4298-4303.2003,jcm,Journal of Clinical Microbiology,Data/predicted/10.1128_jcm.41.9.4298-4303.2003.csv,No,No,
Data/html/10.1128_jcm.02468-14.html,No,No,https://journals.asm.org/doi/10.1128/jcm.02468-14,10.1128_jcm.02468-14,10.1128/jcm.02468-14,jcm,Journal of Clinical Microbiology,Data/predicted/10.1128_jcm.02468-14.csv,No,No,
Data/html/10.1128_jcm.38.5.1767-1771.2000.html,No,No,https://journals.asm.org/doi/10.1128/jcm.38.5.1767-1771.2000,10.1128_jcm.38.5.1767-1771.2000,10.1128/jcm.38.5.1767-1771.2000,jcm,Journal of Clinical Microbiology,Data/predicted/10.1128_jcm.38.5.1767-1771.2000.csv,No,No,
